task_name,instance_num,job_name,task_type,status,start_time,end_time,plan_cpu,plan_mem
M1,1,job_1,type_9,Terminated,97,110,50.0,23.3
M1,1,job_2,type_3,Terminated,127,149,250,5.4
M2_1,4,job_2,type_3,Terminated,149,159,350,45.4
M3_1,1,job_2,type_3,Terminated,149,167,100,24.8
M1,9,job_3,type_1,Terminated,255,283,50.0,24.5
M1,1,job_4,type_4,Terminated,467,487,50.0,36.9
M1,1,job_5,type_11,Terminated,519,531,100,26.5
M2_1,1,job_5,type_11,Terminated,531,546,250,56.2
M1,1,job_6,type_6,Terminated,543,561,50.0,12.9
M2_1,5,job_6,type_6,Terminated,561,588,450,18.1
M3_1,3,job_6,type_6,Terminated,561,573,50.0,32.9
M4_1,10,job_6,type_6,Terminated,561,600,200,16.7
M5_3,1,job_6,type_6,Terminated,573,793,100,29.1
M6_2,1,job_6,type_6,Terminated,588,611,50.0,4.7
M7_6_1,22,job_6,type_6,Terminated,611,762,250,3.1
M1,5,job_7,type_7,Terminated,545,620,150,37.2
M1,1,job_8,type_4,Terminated,645,657,350,4.9
M2,1,job_8,type_4,Terminated,645,895,250,23.9
M3,1,job_8,type_4,Terminated,645,682,100,1.0
M4,1,job_8,type_4,Terminated,645,663,50.0,7.0
M1,1,job_9,type_10,Terminated,669,775,50.0,47.3
M1,1,job_10,type_10,Terminated,827,853,200,23.5
M2_1,5,job_10,type_10,Terminated,853,888,50.0,10.6
M1,1,job_11,type_6,Terminated,983,1030,300,16.0
M1,1,job_12,type_1,Terminated,1023,1038,200,10.6
M2,3,job_12,type_1,Terminated,1023,1056,50.0,5.8
M3,1,job_12,type_1,Terminated,1023,1045,100,18.1
M4,1,job_12,type_1,Terminated,1023,1041,150,49.5
M5,1,job_12,type_1,Terminated,1023,1036,100,10.6
M6,1,job_12,type_1,Terminated,1023,1037,100,50.5
M7,3,job_12,type_1,Terminated,1023,1037,350,16.1
M1,1,job_13,type_10,Terminated,1323,1345,150,18.4
M2_1,2,job_13,type_10,Terminated,1345,1366,100,18.5
M1,4,job_14,type_10,Terminated,1333,1356,50.0,15.3
M2,2,job_14,type_10,Terminated,1333,1370,200,6.7
M3,5,job_14,type_10,Terminated,1333,1368,250,3.5
M1,8,job_15,type_7,Terminated,1512,1522,50.0,11.6
M1,2,job_16,type_8,Terminated,1669,1692,200,21.7
M1,4,job_17,type_9,Terminated,1788,1799,350,22.6
M1,1,job_18,type_3,Terminated,1956,1989,50.0,1.4
M2,2,job_18,type_3,Terminated,1956,1978,200,4.4
M3,7,job_18,type_3,Terminated,1956,1989,300,5.9
M4,4,job_18,type_3,Terminated,1956,1976,50.0,48.2
M5,4,job_18,type_3,Terminated,1956,1971,200,26.6
M1,1,job_19,type_1,Terminated,2145,2155,100,5.4
M1,3,job_20,type_2,Terminated,2261,2271,150,8.7
M1,2,job_21,type_7,Terminated,2286,2309,450,47.8
M2,1,job_21,type_7,Terminated,2286,2346,50.0,43.4
M3,3,job_21,type_7,Terminated,2286,2317,100,17.5
M1,7,job_22,type_8,Terminated,2294,2304,50.0,57.2
M2,4,job_22,type_8,Terminated,2294,2305,800,30.7
M3,8,job_22,type_8,Terminated,2294,2309,150,20.0
M1,1,job_23,type_8,Terminated,2304,2316,300,12.9
M1,3,job_24,type_9,Terminated,2400,2413,50.0,16.6
M2_1,1,job_24,type_9,Terminated,2413,2457,150,12.1
M3_2,1,job_24,type_9,Terminated,2457,2474,50.0,12.2
M4_2,2,job_24,type_9,Terminated,2457,2477,150,30.1
M5_2,5,job_24,type_9,Terminated,2457,2468,100,5.0
M6_1,2,job_24,type_9,Terminated,2413,2456,100,42.0
M7_5,6,job_24,type_9,Terminated,2468,2478,50.0,18.2
M8_3,1,job_24,type_9,Terminated,2474,2489,100,1.6
M1,1,job_25,type_11,Terminated,2444,2455,50.0,49.6
M2_1,1,job_25,type_11,Terminated,2455,2489,50.0,2.6
M3_1,2,job_25,type_11,Terminated,2455,2485,300,22.6
M4_2,2,job_25,type_11,Terminated,2489,2508,100,17.8
M5_4,2,job_25,type_11,Terminated,2508,2543,50.0,26.9
M6_2,6,job_25,type_11,Terminated,2489,2535,150,34.1
M1,3,job_26,type_7,Terminated,2573,2587,100,31.2
M2,3,job_26,type_7,Terminated,2573,2589,50.0,28.9
M3,4,job_26,type_7,Terminated,2573,2588,100,25.1
M4,1,job_26,type_7,Terminated,2573,2583,150,19.2
M5,2,job_26,type_7,Terminated,2573,2651,450,31.6
M6,2,job_26,type_7,Terminated,2573,2591,100,18.3
M7,3,job_26,type_7,Terminated,2573,2587,50.0,1.0
M8,3,job_26,type_7,Terminated,2573,2586,250,52.0
M1,1,job_27,type_8,Terminated,2591,2609,50.0,42.1
M2_1,1,job_27,type_8,Terminated,2609,2733,50.0,54.1
M1,1,job_28,type_11,Terminated,2608,2704,150,6.5
M1,3,job_29,type_6,Terminated,3043,3064,150,30.7
M1,14,job_30,type_11,Terminated,3120,3244,50.0,22.4
M1,8,job_31,type_8,Terminated,3297,3309,100,10.5
M1,6,job_32,type_4,Terminated,3322,3333,100,2.0
M1,2,job_33,type_4,Terminated,3358,3371,100,13.0
M1,2,job_34,type_2,Terminated,3580,3590,150,6.9
M1,1,job_35,type_7,Terminated,3681,3715,50.0,4.6
M1,1,job_36,type_2,Terminated,3916,3933,50.0,38.7
M1,4,job_37,type_1,Terminated,3945,3960,250,9.2
M2,6,job_37,type_1,Terminated,3945,3960,100,10.1
M1,5,job_38,type_8,Terminated,4024,4039,250,17.9
M1,1,job_39,type_6,Terminated,4156,4494,300,41.8
M2_1,1,job_39,type_6,Terminated,4494,4514,100,3.2
M3_1,6,job_39,type_6,Terminated,4494,5010,100,3.3
M1,1,job_40,type_2,Terminated,4729,4740,250,1.9
M2,1,job_40,type_2,Terminated,4729,4749,100,11.9
M3,15,job_40,type_2,Terminated,4729,4752,50.0,55.5
M4,1,job_40,type_2,Terminated,4729,4743,100,11.0
M1,3,job_41,type_4,Terminated,4738,4753,50.0,1.9
M2_1,2,job_41,type_4,Terminated,4753,4786,50.0,10.4
M3_1,1,job_41,type_4,Terminated,4753,4765,50.0,9.2
M4_1,10,job_41,type_4,Terminated,4753,4773,50.0,34.3
M5_2,1,job_41,type_4,Terminated,4786,4810,150,34.3
M6_2,1,job_41,type_4,Terminated,4786,4814,150,11.0
M7_2,1,job_41,type_4,Terminated,4786,4860,50.0,12.8
M1,9,job_42,type_4,Terminated,4749,4772,50.0,29.5
M2,1,job_42,type_4,Terminated,4749,4769,50.0,5.8
M3,6,job_42,type_4,Terminated,4749,4766,100,10.8
M1,2,job_43,type_11,Terminated,4899,4916,150,12.2
M1,1,job_44,type_12,Terminated,4905,4937,200,6.0
M2_1,7,job_44,type_12,Terminated,4937,5050,100,44.8
M3_2_1,2,job_44,type_12,Terminated,5050,5079,50.0,42.4
M1,1,job_45,type_12,Terminated,5434,5452,150,11.3
M2,2,job_45,type_12,Terminated,5434,5461,50.0,31.2
M3,1,job_45,type_12,Terminated,5434,5465,50.0,45.9
M4,18,job_45,type_12,Terminated,5434,5474,100,5.7
M1,1,job_46,type_10,Terminated,5773,5880,450,49.7
M1,1,job_47,type_12,Terminated,5882,5904,50.0,14.7
M1,14,job_48,type_4,Terminated,5912,5935,350,31.6
M2,3,job_48,type_4,Terminated,5912,6058,200,3.3
M3,1,job_48,type_4,Terminated,5912,5926,100,4.5
M4,1,job_48,type_4,Terminated,5912,5928,50.0,4.7
M5,1,job_48,type_4,Terminated,5912,5924,400,13.3
M6,1,job_48,type_4,Terminated,5912,5930,50.0,6.5
M1,4,job_49,type_3,Terminated,5923,6207,50.0,22.4
M2_1,1,job_49,type_3,Terminated,6207,6234,50.0,7.4
M3_1,1,job_49,type_3,Terminated,6207,6231,400,25.6
M1,2,job_50,type_10,Terminated,6180,6191,50.0,51.7
M1,1,job_51,type_4,Terminated,6246,6256,50.0,1.1
M1,1,job_52,type_8,Terminated,6512,6533,200,7.3
M2,1,job_52,type_8,Terminated,6512,6535,50.0,26.9
M3,6,job_52,type_8,Terminated,6512,6538,50.0,8.3
M4,3,job_52,type_8,Terminated,6512,6585,150,19.0
M5,1,job_52,type_8,Terminated,6512,6576,400,17.2
M6,1,job_52,type_8,Terminated,6512,6523,250,33.1
M1,1,job_53,type_4,Terminated,6601,6613,150,6.6
M1,1,job_54,type_8,Terminated,6739,6755,200,15.4
M1,1,job_55,type_3,Terminated,6882,6897,250,24.5
M2,1,job_55,type_3,Terminated,6882,7067,400,8.9
M1,1,job_56,type_5,Terminated,6882,6896,150,16.5
M1,3,job_57,type_9,Terminated,7120,7158,50.0,10.5
M2,4,job_57,type_9,Terminated,7120,7203,50.0,18.0
M1,1,job_58,type_7,Terminated,7329,7344,100,20.5
M2,1,job_58,type_7,Terminated,7329,7406,150,5.7
M3,1,job_58,type_7,Terminated,7329,7348,100,9.3
M4,3,job_58,type_7,Terminated,7329,7354,50.0,29.9
M5,3,job_58,type_7,Terminated,7329,7352,100,23.7
M1,1,job_59,type_10,Terminated,7475,7487,150,22.2
M2,2,job_59,type_10,Terminated,7475,7489,50.0,18.9
M3,1,job_59,type_10,Terminated,7475,7487,50.0,19.7
M4,1,job_59,type_10,Terminated,7475,7550,150,7.2
